Timestamp,Price,EMA_50,PDH,PDL,Macro_Score,DOM_Ratio,Signal,SL,TP
2026-08-31 22:57:30 UTC,4496.5,4543.272616130289,4625.5,4451.7998046875,-2,1.0,NEUTRAL,,
2026-09-01 01:56:31 UTC,4494.0,4537.938538099461,4625.5,4451.7998046875,-2,1.0,NEUTRAL,,
2026-09-01 07:55:17 UTC,4466.7998046875,4526.690212171892,4466.89990234375,4410.89990234375,-4,1.0,SELL,4479.3,4410.9
2026-09-01 13:36:07 UTC,4387.5,4501.337116639367,4466.89990234375,4410.89990234375,-4,1.0,SELL,4400.0,4365.0
2026-09-01 16:47:09 UTC,4399.10009765625,4491.895607638735,4466.89990234375,4410.89990234375,-4,1.0,SELL,STANDARD,4411.6,4376.6
2026-09-01 17:54:19 UTC,4391.39990234375,4487.973438496064,4466.89990234375,4410.89990234375,-4,1.0,SELL,STANDARD,4403.9,4368.9
2026-09-01 21:11:48 UTC,4375.7001953125,4475.335478872546,4466.89990234375,4410.89990234375,-7,1.0,SELL,STANDARD,4388.2,4353.2
2026-09-01 23:27:24 UTC,4377.0,4467.725145679973,4466.89990234375,4410.89990234375,-7,1.0,SELL,STANDARD,4389.5,4354.5
2026-09-02 01:14:16 UTC,4365.5,4459.519984640928,4466.89990234375,4410.89990234375,-7,1.0,SELL,STANDARD,4378.0,4343.0
2026-09-02 05:02:18 UTC,4351.7001953125,4444.840433398773,4402.0,4329.10009765625,-7,1.0,SELL,STANDARD,4364.2,4329.1
2026-09-02 06:44:22 UTC,4336.47,4438.576384274534,4402.0,4329.10009765625,-6,1.89,NEUTRAL,NONE,,
2026-09-02 09:24:26 UTC,4321.29,4430.44667106804,4402.0,4329.10009765625,17.19,-8,0.29,NEUTRAL,NONE,,,
2026-09-02 11:34:10 UTC,4340.32,4424.954759933722,4402.0,4329.10009765625,18.01,-6,1.83,NEUTRAL,NONE,,,
2026-09-02 14:15:41 UTC,4395.73,4424.486530441018,4402.0,4329.10009765625,21.59,-4,1.68,NEUTRAL,NONE,,,
2026-09-02 16:45:55 UTC,4376.0,4423.462656872889,4402.0,4329.10009765625,19.36,-5,1.07,NEUTRAL,NONE,,,
2026-09-02 17:38:50 UTC,4378.92,4423.169234727163,4421.08261590066,4402.0,4329.10009765625,18.45,-8,0.65,NEUTRAL,NONE,,,
2026-09-02 19:58:09 UTC,4397.59,4423.697329266017,4422.663577582208,4402.0,4329.10009765625,18.96,-4,2.2,NEUTRAL,NONE,,,
2026-09-02 22:45:28 UTC,4393.86,4424.683950808712,4422.796901614945,4402.0,4329.10009765625,18.18,-5,1.12,NEUTRAL,NONE,,,
2026-09-03 01:16:48 UTC,4411.3,4426.015732111783,4423.501654219112,4402.0,4329.10009765625,17.47,-4,1.76,NEUTRAL,NONE,,,
2026-09-03 06:05:35 UTC,4436.29,4429.151705385252,4422.790745189317,4390.2001953125,4292.2001953125,14.06,-5,1.03,NEUTRAL,NONE,,,
2026-09-03 10:08:22 UTC,4434.25,4435.715957329857,4422.219316617889,4390.2001953125,4292.2001953125,14.87,-5,0.91,NEUTRAL,NONE,,,
2026-09-03 11:30:36 UTC,4441.01,4438.80457498511,4422.64788804646,4390.2001953125,4292.2001953125,14.66,-6,0.59,NEUTRAL,NONE,,,
2026-09-03 15:09:19 UTC,4503.57,4449.381875708195,4427.4002596982455,4390.2001953125,4292.2001953125,22.17,-4,1.36,NEUTRAL,NONE,,,
2026-09-03 18:49:27 UTC,4480.07,4462.067395191482,4427.371660367889,4390.2001953125,4292.2001953125,22.0,-4,2.45,NEUTRAL,NONE,,,
2026-09-03 21:47:52 UTC,4476.67,4468.530743028379,4426.562136558365,4390.2001953125,4292.2001953125,19.58,-5,0.89,NEUTRAL,NONE,,,
2026-09-04 00:14:33 UTC,4482.29,4474.893028951315,4427.076459475031,4390.2001953125,4292.2001953125,17.81,-4,1.32,NEUTRAL,NONE,,,
2026-09-04 04:52:50 UTC,4475.99,4481.266125777939,4426.957729123934,4390.2001953125,4292.2001953125,11.6,-6,0.49,NEUTRAL,NONE,,,
2026-09-04 09:49:09 UTC,4471.22,4488.097643747551,4432.815288262074,4510.0,4426.0,12.34,-3,1.05,NEUTRAL,NONE,,,
2026-09-04 14:27:49 UTC,4435.73,4486.788344254574,4429.472421818622,4510.0,4426.0,25.47,-3,1.01,NEUTRAL,NONE,,,
2026-09-04 17:42:51 UTC,4420.64,4485.816865115838,4428.8247748692165,4510.0,4426.0,26.46,-4,0.52,NEUTRAL,NONE,,,
2026-09-04 20:54:47 UTC,4431.42,4484.512280779338,4429.281945628146,4510.0,4426.0,27.53,-3,0.94,NEUTRAL,NONE,,,
2026-09-04 23:08:43 UTC,4432.13,4484.496598334485,4429.243859690646,4510.0,4426.0,27.56,-3,1.02,NEUTRAL,NONE,,,
2026-09-05 01:12:38 UTC,4436.32,4484.496598334485,4429.243859690646,4510.0,4426.0,27.56,-3,1.23,NEUTRAL,NONE,,,
2026-09-07 05:00:30 UTC,4397.96,4484.1919672142485,4429.291153128663,4429.7998046875,4429.7998046875,27.56,-6,0.63,NEUTRAL,NONE,,,
2026-09-07 10:34:59 UTC,4395.45,4484.1919672142485,4429.291153128663,4429.7998046875,4429.7998046875,27.56,-4,0.45,NEUTRAL,NONE,,,
2026-09-07 16:35:45 UTC,4414.27,4484.1919672142485,4429.291153128663,4429.7998046875,4429.7998046875,27.56,-4,0.64,NEUTRAL,NONE,,,
2026-09-07 19:44:52 UTC,4410.64,2650.0,2640.0,2670.0,2630.0,8.5,-2,1.57,NEUTRAL,NONE,,,
2026-09-07 22:16:58 UTC,4413.65,2650.0,2640.0,2670.0,2630.0,8.5,-6,0.38,NEUTRAL,NONE,,,
2026-09-08 00:36:37 UTC,4426.41,2650.0,2640.0,2670.0,2630.0,8.5,-6,0.65,NEUTRAL,NONE,,,
2026-09-08 05:17:42 UTC,4429.88,2650.0,2640.0,2670.0,2630.0,8.5,-2,1.4,NEUTRAL,NONE,,,
2026-09-08 09:58:16 UTC,4404.51,2650.0,2640.0,2670.0,2630.0,8.5,-4,1.69,NEUTRAL,NONE,,,
2026-09-08 14:22:37 UTC,4399.77,2650.0,2640.0,2670.0,2630.0,8.5,-2,2.53,NEUTRAL,NONE,,,
2026-09-08 18:01:11 UTC,4390.59,2650.0,2640.0,2670.0,2630.0,8.5,-2,0.69,NEUTRAL,NONE,,,
2026-09-08 21:10:44 UTC,4362.15,2650.0,2640.0,2670.0,2630.0,8.5,1,1.53,NEUTRAL,NONE,,,
2026-09-08 23:24:37 UTC,4357.09,2650.0,2640.0,2670.0,2630.0,8.5,1,2.22,NEUTRAL,NONE,,,
2026-09-09 01:23:55 UTC,4369.8,2650.0,2640.0,2670.0,2630.0,8.5,-1,0.59,NEUTRAL,NONE,,,
